Name,Minutes,Hs,Gr,Cm3,Kind,Date
.19,37.25,PLA,2021-01-19
Stand Celular Larry,121,2:01:00,53.31,42.99,PLA,2021-01-19
Stand Celular Moe,129,2:09:00,54.93,44.3,PLA,2021-01-19
