Nombre,Variante,Hs,Gr,Costo,Ganancia,Precio
Toro Wall Street,15,10.0,90.0,699,468,1265
Toro Wall Street,21,15.0,265.0,1194,656,2005
Ciervo Low Poly,,16.75,350.0,1393,701,2269
Rino Low Poly,,21.0,350.0,1648,718,2563
Elefante Low Poly,,26.0,400.0,2003,752,2984
Tiburon Low Poly,,14.0,330.0,1206,662,2024
Oso Low Poly,,18.0,510.0,1646,727,2571
Unicornio Low Poly,,22.0,350.0,1708,716,2625
Carnero Low Poly,,50.0,770.0,3854,1296,5577
Chapita Mascota,hueso,1.0,15.0,76,154,250
Chapita Mascota,pescado,1.0,15.0,76,154,250
Soporte Guitarra,criolla,5.0,100.0,411,413,893
Soporte Guitarra,electrica,2.0,100.0,231,287,562
Stand Auriculares,,4.5,120.0,403,418,891
Stand Auriculares Angular,,3.75,80.0,313,371,743
Notebook Stand Vertical,,4.0,105.0,356,396,816
Atril Notebook 4 Posiciones,"11""",4.5,100.0,381,406,853
Atril Notebook 4 Posiciones,"14""",7.0,166.0,604,424,1115
Atril Notebook 4 Posiciones,"16""",8.0,180.0,679,464,1239
Atril Notebook Simple,Gyroide,2.75,75.0,248,320,617
Atril Notebook Simple,Triangular,2.75,75.0,248,320,617
Atril Notebook Simple,Lineal,2.75,75.0,248,320,617
PlayStation Símbolos,5,2.0,35.0,158,256,450
PlayStation Símbolos,10,7.5,140.0,605,426,1118
PlayStation Símbolos,15,12.5,365.0,1155,642,1948
PlayStation Símbolos,20,20.0,500.0,1755,731,2693
PlayStation Soporte Joystick,combinado,2.0,30.0,153,254,442
PlayStation Soporte Joystick,simple,1.75,30.0,138,234,405
Llavero Personalizado,simple,0.75,15.0,61,128,207
Llavero Personalizado,combinado,0.75,15.0,61,128,207
Stack Box,11,1.5,30.0,123,213,366
Stack Box,17,4.5,115.0,397,415,881
Soporte para Celular y Cargador Moe,,2.25,50.0,190,270,500
Soporte para Celular y Cargador Curly,,2.25,50.0,190,270,500
Soporte para Celular y Cargador Larry,,2.25,50.0,190,270,500
Soporte Celular,,0.75,15.0,61,128,207
Buda Maceta,10,5.75,100.0,455,413,942
Calavera Maceta,10,3.75,85.0,319,375,752
Lanero,,5.5,115.0,457,424,955
Maceta A,6,1.25,25.0,102,188,316
Maceta A,8,2.25,40.0,179,274,492
Maceta A,10,3.5,76.0,294,359,708
Maceta B,8,3.5,50.0,265,340,657
Maceta B,10,4.5,65.0,342,382,785
Maceta C,6,1.25,20.0,97,183,305
Maceta C,8,2.25,40.0,179,274,492
Maceta C,10,3.25,65.0,267,340,658
David Lapicero,11,13.75,145.0,985,581,1698
Soporte Tablet,,5.0,100.0,411,413,893
Soporte IPad,IPad,1.0,20.0,82,160,263
Soporte IPad,IPad Mini,1.0,20.0,82,160,263
Esqueleto,,5.75,60.0,411,385,864
Soporte Tablet y Cargador,,5.0,100.0,411,413,893
Soporte para Monitor,,10.0,315.0,949,574,1651
Love,15 cm,3.0,25.0,207,315,567
