Name,Minutes,Hs,Gr
Macbook Pro Stand,210,3.50,97.5,78.63,PLA,2021-01-17
Stand Celular Curly,108,1.80,46.68,37.64,PLA,2021-01-17
Stand Celular Larry,121,2.02,53.31,42.99,PLA,2021-01-17
Stand Celular Moe,129,2.15,55.5,44.76,PLA,2021-01-17
