Nombre,Variante,Hs,Gr,Costo,Ganancia,Precio
Soporte Celular,,0.75,15,,,
Buda Maceta,10,5.75,100,,,
Calavera Maceta,10,3.75,85,,,
Lanero,,5.5,115,,,
Maceta A,6,1.25,25,,,
Maceta A,8,2.25,40,,,
Maceta A,10,3.5,76,,,
Maceta B,8,3.5,50,,,
Maceta B,10,4.5,65,,,
Maceta C,6,1.25,20,,,
Maceta C,8,2.25,40,,,
Maceta C,10,3.25,65,,,
David Lapicero,11,13.75,145,,,
Soporte Tablet,,5,100,,,
Soporte IPad,IPad,1,20,,,
Soporte IPad,IPad Mini,1,20,,,
Esqueleto,,5.75,60,,,
Soporte Tablet y Cargador,,5,100,,,
Soporte para Monitor,,10,315,,,
Love,15 cm,3,25,,,
