Name,Minutes,Hs,Gr,Cm3,Kind,Date
Stand Celular Curly,108,1:48:00,46.68,37.64,PLA,2021-01-18
Stand Celular Larry,121,2:01:00,53.31,42.99,PLA,2021-01-18
Stand Celular Moe,129,2:09:00,55.5,44.76,PLA,2021-01-18
